game_id,novelty_play,play_seq,recent_similar_game_id,recent_similar_play_seq
CHA199508110,4,"7, 3B, K, 9",BOS199507130,"7, 3B, K, HR"
FLO199508110,5,"1B, 46(1), CS2, BB, HR",HOU198906090,"1B, 46(1), CS2, BB, 9"
HOU199508110,4,"HR, BB, 8, HBP",MIN199206010,"HR, BB, 8, SB2"
KCA199508110,5,"7, 7, 13, 43, K",HOU199206290,"7, 7, 13, 43, 9"
LAN199508110,4,"3B, 3, 2B, 2B",NYA191205240,"3B, 3, 2B, 43"
MIL199508110,5,"3, 63, 1B, K, 9",CHN199105120,"3, 63, 1B, K, E4"
MIN199508110,3,"41, 53, K",MIL198805040,"41, 53, 8"
NYA199508110,6,"1B, 53, 1B, 1B, K, 9",PHI192807270,"1B, 53, 1B, 1B, K, 1B"
PHI199508110,4,"K, K, 5, E6",SEA199307280,"K, K, 5, K"
SDN199508111,7,"K, BB, K, 8, 1B, SB2, BB",NYA194507201,"K, BB, K, 8, 1B, SB2, 3"
SDN199508112,6,"9, BB, 1B, 7, BB, 43",BRO193109072,"9, BB, 1B, 7, BB, 8"
SFN199508110,3,"HBP, 2B, 5",LAN199507020,"HBP, 2B, 63"
TEX199508110,5,"31, 1B, BB, BB, WP",CLE197008040,"31, 1B, BB, BB, 12(3)3"
ATL199508120,4,"5, 13, 5, 63",SDN199508020,"5, 13, 5, 4"
BOS199508120,3,"1, HBP, POCS2",CLE195107180,"1, HBP, 8"
CHA199508120,5,"1B, 46(1)3, 2B, BB, 63",CIN199505070,"1B, 46(1)3, 2B, BB, 8"
FLO199508120,5,"K, 9, 3B, K, HBP",CHN198809202,"K, 9, 3B, K, K"
HOU199508120,5,"53, 1B, K, K, 1B",SDN199505160,"53, 1B, K, K, 43"
KCA199508120,4,"9, 63, 63, 6",PIT199308120,"9, 63, 63, 1B"
LAN199508120,4,"1B, E1, 2, K",CHN192108010,"1B, E1, 2, 1B"
MIL199508120,5,"K, 63, 43, 9, 9",BAL196706192,"K, 63, 43, 9, 3B"
MIN199508120,4,"13, 7, 53, 3B",BAL199107250,"13, 7, 53, 8"
NYA199508120,5,"9, 9, 1B, 13, BB",CIN198208250,"9, 9, 1B, 13, 63"
PHI199508120,5,"3, 43, BB, 8, K",ATL198304120,"3, 43, BB, 8, 3"
SDN199508120,4,"2B, BB, HR, BB",BAL199306220,"2B, BB, HR, 8"
SFN199508120,5,"K, HR, 3, 63, K",LAN198906120,"K, HR, 3, 63, 1B"
TEX199508120,6,"3, 1B, K, SB2, K, BB",ATL197505210,"3, 1B, K, SB2, K, 7"
ATL199508130,4,"K, 13, 9, 8",NYA198906162,"K, 13, 9, 43"
BOS199508130,4,"43, 43, 7, 13",SFN199307250,"43, 43, 7, K"
